phase,tokens,allocated_gib,driver_gib
abc,256,7.29,8.41
abc,512,7.29,8.41
abc,768,7.29,8.41
abc,1024,7.29,8.41
abc,1280,7.29,8.41
abc,1536,7.29,8.41
abc,1792,7.29,8.41
abc,2048,7.29,8.41
abc,2304,7.29,8.41
abc,2560,7.29,8.41
semantic,256,8.10,9.42
semantic,512,8.10,9.42
semantic,768,8.10,9.42
semantic,1024,8.10,9.42
semantic,1280,8.10,9.42
semantic,1536,8.10,9.42
semantic,1792,8.10,9.42
semantic,2048,8.10,9.42
semantic,2304,8.10,9.42
semantic,2560,8.10,9.42
semantic,2816,8.10,9.42
semantic,3072,8.10,9.42
semantic,3328,8.10,9.42
semantic,3584,8.10,9.42
semantic,3840,8.10,9.42
semantic,4096,8.10,9.42
semantic,4352,8.10,9.42
semantic,4608,8.10,9.42
semantic,4864,8.10,9.42
semantic,5120,8.10,9.42
semantic,5376,8.10,9.42
semantic,5632,8.10,9.42
semantic,5888,8.10,9.42
semantic,6144,8.10,9.42
semantic,6400,8.10,9.42
semantic,6656,8.10,9.42
semantic,6912,8.10,9.42
semantic,7168,8.10,9.42
semantic,7424,8.10,9.42
semantic,7680,8.10,9.42
semantic,7936,8.10,9.42
semantic,8192,8.10,9.42
semantic,8448,8.10,9.42
semantic,8704,8.10,9.42
semantic,8960,8.10,9.42
